Police_Station	LongitudeY	LatitudeX
LAINGSBURG	-33.19758	20.85937
LAMBERTSBAAI	-32.09251	18.30541
LAMONTVILLE	-29.94046	30.93923
LANGA	-33.94453	18.52647
LANGEBAAN	-33.09287	18.03349
LANGLAAGTE	-26.20815	27.98447
LANSDOWNE	-33.99054	18.50523
LAUDIUM	-25.78555	28.09789
LEBOENG	-24.509	30.64776
LEBOWAKGOMO	-24.32098	29.48187
LEEU GAMKA	-32.77896	21.97303
LEEUDORINGSTAD	-27.23507	26.24131
LEHURUTSHE	-25.4878	25.98517
LENASIA	-26.32228	27.82496
LENASIA SOUTH	-26.39441	27.85891
LENTEGEUR	-34.03613	18.6107
LEPHALALE	-23.67856	27.73479
LESLIE	-26.36964	28.92186
LETHABONG	-25.43625	27.50895
LETHLABILE	-25.49501	27.83781
LETSITELE	-23.89402	30.39214
LEVUBU	-23.09234	30.2754
LIBODE	-31.53967	29.01552
LICHTENBURG	-26.15137	26.15889
LIME ACRES	-28.35892	23.52467
LINDEN	-26.11922	27.9937
LINDLEY	-27.88343	27.92071
LINGELETHU-WEST	-34.04298	18.66004
LOATE	-25.4951	28.07368
LOERIESFONTEIN	-30.95563	19.44893
LOMANYANENG	-25.8949	25.65939
LOTHAIR	-26.39072	30.44033
LOUWSBURG	-27.58069	31.28124
Low Creek	-25.64453	31.29337
LOXTON	-31.4772	22.34998
LUCKHOFF	-29.7515	24.78995
LUKHOLWENI	-30.64249	28.85494
LULEKANI	-23.86649	31.08104
LUSIKISIKI	-31.36889	29.57499
LUTZVILLE	-31.55902	18.34501
LWANDLE	-34.11561	18.86718
LYDENBURG	-25.0964	30.45298
LYTTELTON	-25.83904	28.19868
MAAKE	-23.9731	30.27092
MAARTENSHOOP	-24.99079	30.234
MABOPANE	-25.511	28.0575
MACASSAR	-34.06112	18.76276
MACHADODORP	-25.66843	30.25328
MACLEANTOWN	-32.78686	27.74466
MACLEAR	-31.06708	28.34897
MADADENI	-27.762	30.02664
MADEIRA	-31.58703	28.78971
MADIBOGO	-26.42189	25.1507
MADIKWE	-25.35177	26.52447
MAFUBE	-27.26838	28.50321
MAGALIESBURG	-25.99744	27.53867
MAGATLE	-24.45995	29.41087
MAGUDU	-27.54544	31.64838
MAHAMBA	-27.10484	31.0679
MAHIKENG	-25.86314	25.64055
MAHLABATHINI	-28.2339	31.46908
MAHWELERENG	-24.15543	28.98329
MAITLAND	-33.92367	18.48325
MAKAPANSTAD	-25.23604	28.12209
MAKGOBISTAD	-25.75024	25.10729
MAKHADO	-23.03789	29.90773
MAKUYA	-22.65248	30.82752
MAKWANE	-28.53211	28.88045
MAKWASSIE	-27.31268	25.9933
MALAMULELE	-23.00452	30.68665
MALEBOHO	-22.89844	28.83183
MALELANE	-25.49436	31.51072
MALETSWAI	-30.69442	26.69165
MALIPSDRIFT	-24.23447	29.82122
MALMESBURY	-33.45354	18.72971
MALUTI	-30.26205	28.78647
MALVERN	-29.87456	30.91017
MAMELODI	-25.71422	28.34826
MAMELODI EAST	-25.71357	28.39609
MANDENI	-29.15479	31.41142
MANENBERG	-33.97186	18.55608
MANGAUNG	-29.15674	26.24956
MANKWENG	-23.88506	29.72669
MAOKENG	-27.65223	27.20998
MAPHUMULO	-29.15989	31.06624
MARA	-23.0909	29.39279
MARBLE HALL	-24.96968	29.29687
MARGATE	-30.86359	30.36415
MARIANNHILL	-29.86286	30.8353
MARIKANA	-25.70513	27.48645
MARQUARD	-28.66536	27.4259
MARYDALE	-29.40618	22.10618
MASEMOLA	-24.56753	29.66673
MASHASHANE	-23.896389	29.134318
MASISI	-22.42221	30.86261
MASOYI	-25.16354	31.11541
MATATIELE	-30.34362	28.80508
MATLALA	-23.67413	29.0315
MATSULU	-25.51513	31.34609
MAYDON WHARF	-29.8783	31.00228
MAYFLOWER	-26.30353	30.77622
MAYVILLE-KZN	-29.85207	30.98406
MBAZWANA	-27.48081	32.59923
MBEKWENI	-33.67287	18.99789
Mbizana	-30.85428	29.85939
MBIZENI	-30.75569	28.36188
MBONGOLWANE	-28.93937	31.20316
MBUZINI	-25.82101	31.89291
MCGREGOR	-33.9463	19.82949
MDANTSANE	-32.94867	27.77583
MEADOWLANDS	-26.22145	27.90026
MECKLENBURG	-24.38627	30.07359
MEHLOMNYAMA	-30.58681	30.32273
MELKBOSSTRAND	-33.72733	18.4481
MELMOTH	-28.59162	31.39876
MELODING	-28.13308	26.89475
MEMEL	-27.68155	29.56703
MEYERTON	-26.55567	28.01492
MFULENI	-33.98106	18.68742
MHALA	-24.72574	31.20416
MHLUZI	-25.75075	29.4488
MID ILLOVO	-29.96608	30.51511
MIDDELBURG MPUMALANG	-25.76254	29.45876
Middelburg(Ec)	-31.49245	25.00611
MIDDELPOS	-31.90632	20.232
MIDDLEDRIFT	-32.81951	26.9905
